,Country
0,China
1,US
2,Japan
3,Thailand
4,South Korea
5,Mainland China
6,Hong Kong
7,Macau
8,Taiwan
9,Singapore
10,Philippines
11,Malaysia
12,Vietnam
13,Australia
14,Mexico
15,Brazil
16,France
17,Nepal
18,Canada
19,Cambodia
20,Sri Lanka
21,Ivory Coast
22,Germany
23,Finland
24,United Arab Emirates
25,India
26,Italy
27,Sweden
28,Russia
29,Spain
30,UK
